WinCELL Pro 2011a	GLOBAL	ImageFileName	ImageXDpi ImageYDpi	Operator	Date Time	ImageAcqDeviceAndSoftwareInfo DateTimeModified	CalibMethod TPU Units	PxSizeX PxSizeY	RingWidth	PxClassif	Filters A L W FC LWR Smoothing	LengthWidthMethod	RejectCutBoundary	NExclusions	VesselClassif Thd	BorderWidth[px]	AnalysedRgnFrameCoord	Year	Image#	Beginning Ending	AnalysedRegion[Ring]Area	AnalysedRegionHorizSize	AnalysedRegionVertSize	TotalWall%Area	TotalWallArea	TotalLumenCell%Area	TotalLumenCellArea	AvgLumenCellArea	AvgLumenCellLength	AvgLumenCellWidth	AvgLumenCellPerim	AvgLumenCellFormCoef	AvgLumenCellL/W	NCells	TotalLumenVessel%Area	TotalLumenVesselArea	AvgLumenVesselArea	AvgLumenVesselLength	AvgLumenVesselWidth	AvgLumenVesselPerim	AvgLumenVesselFormCoef	AvgLumenVesselL/W	NVessels	TotalLumenParench%Area	TotalLumenParenchArea	AvgLumenParenchArea	AvgLumenParenchLength	AvgLumenParenchWidth	AvgLumenParenchPerim	AvgLumenParenchFormCoef	AvgLumenParenchL/W	NParench	NofGrpObj AvgNofObj/Grp	NofSplitObj AvgNofObj/Split		HistoDataType	HistoNOfClasses	HistoClassesBoundaries	HistoData1	HistoData2...	
SampleId	CELL	Year	Image#	Cell#	Group#	Type	LumenArea	LumenLength	LumenWidth	HorizontalPosition	VerticalPosition	LeftWallLength	RightWallLength	CellLength	LumenPerimeter	LumenFormCoefficient	LumenL/W					
SampleId	PATH	Year	Image#	PathName	CellRank	Cell#	LumenArea	LumenLength	Wall1Length	Wall2Length	AvgWallLength	CellLength	AvgWallLength/LumenLength	EarlyLateWood	LumenWidth	
SampleId	GROUP	Year	Image#	Group#	NObj	Type	AvgLumenArea	AvgLumenLength	AvgLumenWidth	AvgHorizontalPosition	AvgVerticalPosition	AvgLumenPerimeter	AvgLumenFormCoefficient	AvgLumenL/W	TotLumenArea	TotLumenLength	TotLumenWidth	TotLumenPerimeter	
2_nakH_1	GLOBAL	2_nakH_1.TIF	0.0000 0.0000	jt	4.10.2018 09:34:53	Regent Instruments Inc.  WinCELL Pro 2011a 	ObjKnownDim px	1.700000 1.700000	0.0000	THD-177	A<300.0000 	CentreHV	N	0	Y 180.0000	10	1287 2100 1548 3276	2014	1	B E	805142.4400	443.7000	1999.2000	93.35	751579.1800	0.27	2184.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	6.38	51378.4200	725.3139	28.5868	26.9316	111.5920	0.7126	1.1010	38	0.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0 0.0	0 0.0		AREA	30	0.0000 300.0000 600.0000 900.0000 1200.0000 1500.0000 1800.0000 2100.0000 2400.0000 2700.0000 3000.0000 3300.0000 3600.0000 3900.0000 4200.0000 4500.0000 4800.0000 5100.0000 5400.0000 5700.0000 6000.0000 6300.0000 6600.0000 6900.0000 7200.0000 7500.0000 7800.0000 8100.0000 8400.0000 8700.0000 inf.	0	20	7	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2_nakH_1	CELL	2014	1	1	0	V	343.9100	20.4000	20.4000	2249.8143	5292.3429	11.0500	153.8500	185.3000	68.1126	0.9315	1.0000	
2_nakH_1	CELL	2014	1	2	0	V	358.3600	17.0000	23.8000	2257.8331	5399.2000	17.8500	35.7000	70.5500	72.0048	0.8686	0.7143	
2_nakH_1	CELL	2014	1	3	0	V	731.1700	28.9000	30.6000	2273.6123	5161.3411	12.7500	35.7000	77.3500	107.0341	0.8020	0.9444	
2_nakH_1	CELL	2014	1	4	0	V	534.6500	22.1000	32.3000	2269.9686	5522.0319	21.2500	164.9000	208.2500	97.3038	0.7096	0.6842	
2_nakH_1	CELL	2014	1	5	0	V	355.4700	17.0000	23.8000	2286.8593	4493.9569	9.3500	168.3000	194.6500	72.0048	0.8616	0.7143	
2_nakH_1	CELL	2014	1	6	0	V	630.0200	23.8000	28.9000	2291.1633	4843.6041	28.0500	25.5000	77.3500	107.0341	0.6911	0.8235	
2_nakH_1	CELL	2014	1	7	0	V	913.2400	34.0000	30.6000	2324.8199	5341.8573	56.9500	55.2500	146.2000	138.1713	0.6011	1.1111	
2_nakH_1	CELL	2014	1	8	0	V	861.2200	34.0000	27.2000	2331.6013	4725.8060	55.2500	44.2000	133.4500	116.7645	0.7938	1.2500	
2_nakH_1	CELL	2014	1	9	0	V	927.6900	42.5000	30.6000	2339.4807	5223.3639	65.4500	127.5000	235.4500	144.0095	0.5621	1.3889	
2_nakH_1	CELL	2014	1	10	0	V	473.9600	23.8000	23.8000	2336.4841	4215.6890	14.4500	135.1500	173.4000	77.8430	0.9829	1.0000	
2_nakH_1	CELL	2014	1	11	0	V	1314.9500	37.4000	39.1000	2355.9908	4651.2262	77.3500	112.2000	226.9500	157.6321	0.6650	0.9565	
2_nakH_1	CELL	2014	1	12	0	V	430.6100	18.7000	15.3000	2351.8188	4036.5644	15.3000	125.8000	159.8000	114.8184	0.4105	1.2222	
2_nakH_1	CELL	2014	1	13	0	V	1300.5000	44.2000	37.4000	2359.7813	5396.5933	35.7000	59.5000	139.4000	149.8478	0.7278	1.1818	
2_nakH_1	CELL	2014	1	14	0	V	583.7800	32.3000	22.1000	2356.0233	4347.4639	76.5000	95.2000	204.0000	110.9263	0.5962	1.4615	
2_nakH_1	CELL	2014	1	15	0	V	453.7300	17.0000	27.2000	2350.8076	5487.4701	51.8500	3.4000	72.2500	85.6273	0.7776	0.6250	
2_nakH_1	CELL	2014	1	16	0	V	1684.8700	40.8000	45.9000	2372.1007	4857.0895	1.7000	107.1000	149.6000	171.2546	0.7219	0.8889	
2_nakH_1	CELL	2014	1	17	0	V	1340.9600	40.8000	35.7000	2377.3218	5150.9780	35.7000	68.0000	144.5000	161.5242	0.6459	1.1429	
2_nakH_1	CELL	2014	1	18	0	V	497.0800	20.4000	27.2000	2374.8506	5486.0186	3.4000	101.1500	124.9500	89.5195	0.7795	0.7500	
2_nakH_1	CELL	2014	1	19	0	V	849.6600	32.3000	27.2000	2382.7929	4441.9959	91.8000	68.8500	192.9500	169.3085	0.3725	1.1875	
