WinCELL Pro 2011a	GLOBAL	ImageFileName	ImageXDpi ImageYDpi	Operator	Date Time	ImageAcqDeviceAndSoftwareInfo DateTimeModified	CalibMethod TPU Units	PxSizeX PxSizeY	RingWidth	PxClassif	Filters A L W FC LWR Smoothing	LengthWidthMethod	RejectCutBoundary	NExclusions	VesselClassif Thd	BorderWidth[px]	AnalysedRgnFrameCoord	Year	Image#	Beginning Ending	AnalysedRegion[Ring]Area	AnalysedRegionHorizSize	AnalysedRegionVertSize	TotalWall%Area	TotalWallArea	TotalLumenCell%Area	TotalLumenCellArea	AvgLumenCellArea	AvgLumenCellLength	AvgLumenCellWidth	AvgLumenCellPerim	AvgLumenCellFormCoef	AvgLumenCellL/W	NCells	TotalLumenVessel%Area	TotalLumenVesselArea	AvgLumenVesselArea	AvgLumenVesselLength	AvgLumenVesselWidth	AvgLumenVesselPerim	AvgLumenVesselFormCoef	AvgLumenVesselL/W	NVessels	TotalLumenParench%Area	TotalLumenParenchArea	AvgLumenParenchArea	AvgLumenParenchLength	AvgLumenParenchWidth	AvgLumenParenchPerim	AvgLumenParenchFormCoef	AvgLumenParenchL/W	NParench	NofGrpObj AvgNofObj/Grp	NofSplitObj AvgNofObj/Split		HistoDataType	HistoNOfClasses	HistoClassesBoundaries	HistoData1	HistoData2...	
SampleId	CELL	Year	Image#	Cell#	Group#	Type	LumenArea	LumenLength	LumenWidth	HorizontalPosition	VerticalPosition	LeftWallLength	RightWallLength	CellLength	LumenPerimeter	LumenFormCoefficient	LumenL/W					
SampleId	PATH	Year	Image#	PathName	CellRank	Cell#	LumenArea	LumenLength	Wall1Length	Wall2Length	AvgWallLength	CellLength	AvgWallLength/LumenLength	EarlyLateWood	LumenWidth	
SampleId	GROUP	Year	Image#	Group#	NObj	Type	AvgLumenArea	AvgLumenLength	AvgLumenWidth	AvgHorizontalPosition	AvgVerticalPosition	AvgLumenPerimeter	AvgLumenFormCoefficient	AvgLumenL/W	TotLumenArea	TotLumenLength	TotLumenWidth	TotLumenPerimeter	
2_ref_4	GLOBAL	2_ref_4_oprava.TIF	0.0000 0.0000	jt	14.2.2018 14:13:21	Regent Instruments Inc.  WinCELL Pro 2011a 	ObjKnownDim µm	1.700000 1.700000	0.0000	THD-177	A<300.0000 	CentreHV	N	0	Y 180.0000	10	11600 3520 13272 4108	2003	1	B E	2711791.0400	2842.4000	999.6000	85.34	2314164.6100	0.03	809.2000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	14.63	396817.2300	1755.8914	44.1261	37.5150	188.4496	0.6201	1.2664	212	0.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0 0.0	5 2.0		AREA	30	0.0000 300.0000 600.0000 900.0000 1200.0000 1500.0000 1800.0000 2100.0000 2400.0000 2700.0000 3000.0000 3300.0000 3600.0000 3900.0000 4200.0000 4500.0000 4800.0000 5100.0000 5400.0000 5700.0000 6000.0000 6300.0000 6600.0000 6900.0000 7200.0000 7500.0000 7800.0000 8100.0000 8400.0000 8700.0000 inf.	0	28	33	25	20	23	15	11	9	12	3	5	7	5	2	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	
2_ref_4	CELL	2003	1	1	0	V	300.5600	13.6000	18.7000	19803.3981	6655.5981	20.4000	278.8000	312.8000	77.8430	0.6233	0.7273	
2_ref_4	CELL	2003	1	2	0	V	696.4900	22.1000	32.3000	19816.2722	6184.2896	43.3500	138.5500	204.0000	110.9263	0.7113	0.6842	
2_ref_4	CELL	2003	1	3	0	V	875.6700	28.9000	34.0000	19843.2360	6353.9660	0.8500	71.4000	101.1500	140.1174	0.5605	0.8500	
2_ref_4	CELL	2003	1	4	0	V	390.1500	18.7000	23.8000	19841.9844	6843.0163	57.8000	189.5500	266.0500	77.8430	0.8091	0.7857	
2_ref_4	CELL	2003	1	5	0	V	1890.0600	57.8000	37.4000	19917.2234	6302.4537	85.0000	20.4000	163.2000	179.0389	0.7410	1.5455	
2_ref_4	CELL	2003	1	6	0	V	1898.7300	52.7000	40.8000	19922.9288	6489.7280	88.4000	221.0000	362.1000	182.9311	0.7130	1.2917	
2_ref_4	CELL	2003	1	7	0	V	1514.3600	51.0000	34.0000	19932.5844	6113.6672	84.1500	153.0000	288.1500	153.7399	0.8051	1.5000	
2_ref_4	CELL	2003	1	8	0	V	1696.4300	52.7000	37.4000	19938.8743	6543.2681	81.6000	17.8500	152.1500	165.4164	0.7791	1.4091	
2_ref_4	CELL	2003	1	9	0	V	1340.9600	49.3000	35.7000	19942.4912	6775.5478	99.4500	496.4000	645.1500	149.8478	0.7505	1.3810	
2_ref_4	CELL	2003	1	10	0	V	667.5900	28.9000	27.2000	20000.1394	6307.3459	18.7000	360.4000	408.0000	108.9802	0.7064	1.0625	
2_ref_4	CELL	2003	1	11	0	V	413.2700	20.4000	23.8000	20005.8497	6708.6517	138.5500	21.2500	180.2000	83.6812	0.7416	0.8571	
2_ref_4	CELL	2003	1	12	0	V	401.7100	18.7000	23.8000	20009.1590	6085.2050	131.7500	677.4500	827.9000	79.7891	0.7929	0.7857	
2_ref_4	CELL	2003	1	13	0	V	757.1800	23.8000	34.0000	20011.7771	6539.6340	17.8500	64.6000	106.2500	120.6566	0.6536	0.7000	
2_ref_4	CELL	2003	1	14	0	V	869.8900	30.6000	34.0000	20018.0648	6348.1728	72.2500	28.0500	130.9000	120.6566	0.7509	0.9000	
2_ref_4	CELL	2003	1	15	0	V	606.9000	32.3000	25.5000	20030.4848	6019.6919	147.9000	86.7000	266.9000	99.2498	0.7742	1.2667	
2_ref_4	CELL	2003	1	16	0	V	404.6000	20.4000	25.5000	20023.0614	6821.1529	147.0500	13.6000	181.0500	81.7351	0.7611	0.8000	
2_ref_4	CELL	2003	1	17	0	V	447.9500	15.3000	8.5000	20060.1535	6822.6813	13.6000	110.5000	139.4000	105.0881	0.5097	1.8000	
2_ref_4	CELL	2003	1	18	0	V	881.4500	51.0000	20.4000	20076.3311	6446.4948	153.8500	227.8000	432.6500	142.0635	0.5488	2.5000	
2_ref_4	CELL	2003	1	19	0	V	1372.7500	45.9000	34.0000	20079.8202	6239.9806	158.9500	136.8500	341.7000	151.7939	0.7487	1.3500	
