WinCELL Pro 2011a	GLOBAL	ImageFileName	ImageXDpi ImageYDpi	Operator	Date Time	ImageAcqDeviceAndSoftwareInfo DateTimeModified	CalibMethod TPU Units	PxSizeX PxSizeY	RingWidth	PxClassif	Filters A L W FC LWR Smoothing	LengthWidthMethod	RejectCutBoundary	NExclusions	VesselClassif Thd	BorderWidth[px]	AnalysedRgnFrameCoord	Year	Image#	Beginning Ending	AnalysedRegion[Ring]Area	AnalysedRegionHorizSize	AnalysedRegionVertSize	TotalWall%Area	TotalWallArea	TotalLumenCell%Area	TotalLumenCellArea	AvgLumenCellArea	AvgLumenCellLength	AvgLumenCellWidth	AvgLumenCellPerim	AvgLumenCellFormCoef	AvgLumenCellL/W	NCells	TotalLumenVessel%Area	TotalLumenVesselArea	AvgLumenVesselArea	AvgLumenVesselLength	AvgLumenVesselWidth	AvgLumenVesselPerim	AvgLumenVesselFormCoef	AvgLumenVesselL/W	NVessels	TotalLumenParench%Area	TotalLumenParenchArea	AvgLumenParenchArea	AvgLumenParenchLength	AvgLumenParenchWidth	AvgLumenParenchPerim	AvgLumenParenchFormCoef	AvgLumenParenchL/W	NParench	NofGrpObj AvgNofObj/Grp	NofSplitObj AvgNofObj/Split		HistoDataType	HistoNOfClasses	HistoClassesBoundaries	HistoData1	HistoData2...	
SampleId	CELL	Year	Image#	Cell#	Group#	Type	LumenArea	LumenLength	LumenWidth	HorizontalPosition	VerticalPosition	LeftWallLength	RightWallLength	CellLength	LumenPerimeter	LumenFormCoefficient	LumenL/W					
SampleId	PATH	Year	Image#	PathName	CellRank	Cell#	LumenArea	LumenLength	Wall1Length	Wall2Length	AvgWallLength	CellLength	AvgWallLength/LumenLength	EarlyLateWood	LumenWidth	
SampleId	GROUP	Year	Image#	Group#	NObj	Type	AvgLumenArea	AvgLumenLength	AvgLumenWidth	AvgHorizontalPosition	AvgVerticalPosition	AvgLumenPerimeter	AvgLumenFormCoefficient	AvgLumenL/W	TotLumenArea	TotLumenLength	TotLumenWidth	TotLumenPerimeter	
1_dekD_1	GLOBAL	1_dekD_1.TIF	0.0000 0.0000	jt	16.2.2018 12:21:48	Regent Instruments Inc.  WinCELL Pro 2011a 	ObjKnownDim µm	1.700000 1.700000	0.0000	THD-177	A<300.0000 	CentreHV	N	0	Y 180.0000	10	456 86 796 1266	2014	1	B E	1072768.0000	578.0000	2006.0000	60.50	648978.4000	0.15	1603.9500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	39.35	422185.6500	991.6981	32.7407	31.7333	139.5408	0.6360	1.1007	27	0.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0 0.0	0 0.0		AREA	30	0.0000 300.0000 600.0000 900.0000 1200.0000 1500.0000 1800.0000 2100.0000 2400.0000 2700.0000 3000.0000 3300.0000 3600.0000 3900.0000 4200.0000 4500.0000 4800.0000 5100.0000 5400.0000 5700.0000 6000.0000 6300.0000 6600.0000 6900.0000 7200.0000 7500.0000 7800.0000 8100.0000 8400.0000 8700.0000 inf.	0	9	3	3	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1_dekD_1	CELL	2014	1	1	0	V	1271.6000	40.8000	35.7000	872.5018	1940.7973	11.9000	16.1500	68.8500	163.4703	0.5980	1.1429	
1_dekD_1	CELL	2014	1	2	0	V	453.7300	30.6000	15.3000	872.2083	1978.2911	13.6000	48.4500	92.6500	99.2498	0.5788	2.0000	
1_dekD_1	CELL	2014	1	3	0	V	1612.6200	47.6000	42.5000	887.5341	1834.3853	11.0500	185.3000	243.9500	210.1761	0.4587	1.1200	
1_dekD_1	CELL	2014	1	4	0	V	1202.2400	32.3000	40.8000	918.7519	1656.3966	11.9000	209.9500	254.1500	163.4703	0.5654	0.7917	
1_dekD_1	CELL	2014	1	5	0	V	442.1700	22.1000	27.2000	928.4556	1952.5222	13.6000	24.6500	60.3500	81.7351	0.8317	0.8125	
1_dekD_1	CELL	2014	1	6	0	V	1262.9300	44.2000	30.6000	953.3188	1525.3941	17.8500	53.5500	115.6000	214.0683	0.3463	1.4444	
1_dekD_1	CELL	2014	1	7	0	V	1257.1500	35.7000	20.4000	958.4209	1752.7430	48.4500	69.7000	153.8500	171.2546	0.5387	1.7500	
1_dekD_1	CELL	2014	1	8	0	V	1445.0000	37.4000	34.0000	981.6786	1333.9628	15.3000	10.2000	62.9000	219.9065	0.3755	1.1000	
1_dekD_1	CELL	2014	1	9	0	V	734.0600	27.2000	27.2000	989.9622	1610.6831	45.0500	17.0000	89.2500	116.7645	0.6766	1.0000	
1_dekD_1	CELL	2014	1	10	0	V	1710.8800	45.9000	51.0000	1010.4318	1211.0691	16.1500	127.5000	189.5500	210.1761	0.4867	0.9000	
1_dekD_1	CELL	2014	1	11	0	V	378.5900	17.0000	27.2000	1023.6595	1346.3740	7.6500	33.1500	57.8000	83.6812	0.6794	0.6250	
1_dekD_1	CELL	2014	1	12	0	V	343.9100	20.4000	20.4000	1047.3000	1264.3286	42.5000	138.5500	201.4500	72.0048	0.8336	1.0000	
1_dekD_1	CELL	2014	1	13	0	V	855.4400	39.1000	20.4000	1061.2767	1035.0071	20.4000	128.3500	187.8500	130.3870	0.6323	1.9167	
1_dekD_1	CELL	2014	1	14	0	V	956.5900	40.8000	23.8000	1068.7505	981.7577	12.7500	48.4500	102.0000	132.3331	0.6864	1.7143	
1_dekD_1	CELL	2014	1	15	0	V	300.5600	22.1000	13.6000	1061.0125	1232.6798	12.7500	141.1000	175.9500	75.8969	0.6557	1.6250	
1_dekD_1	CELL	2014	1	16	0	V	546.2100	22.1000	27.2000	1102.6974	1073.9683	45.0500	13.6000	80.7500	91.4655	0.8205	0.8125	
1_dekD_1	CELL	2014	1	17	0	V	604.0100	25.5000	27.2000	1104.6096	884.3010	19.5500	107.9500	153.0000	97.3038	0.8017	0.9375	
1_dekD_1	CELL	2014	1	18	0	V	1132.8800	34.0000	40.8000	1119.6061	744.1143	13.6000	14.4500	62.0500	142.0635	0.7054	0.8333	
1_dekD_1	CELL	2014	1	19	0	V	2028.7800	52.7000	45.9000	1157.5959	585.5580	17.8500	78.2000	148.7500	173.2007	0.8499	1.1481	
1_dekD_1	CELL	2014	1	20	0	V	1679.0900	42.5000	45.9000	1179.2733	461.2179	10.2000	66.3000	119.0000	179.0389	0.6582	0.9259	
1_dekD_1	CELL	2014	1	21	0	V	1390.0900	35.7000	45.9000	1182.0266	756.8393	16.1500	12.7500	64.6000	155.6860	0.7207	0.7778	
1_dekD_1	CELL	2014	1	22	0	V	554.8800	30.6000	23.8000	1196.9505	394.7188	20.4000	64.6000	115.6000	99.2498	0.7079	1.2857	
1_dekD_1	CELL	2014	1	23	0	V	309.2300	10.2000	30.6000	1204.2196	346.9748	17.0000	4.2500	31.4500	81.7351	0.5817	0.3333	
1_dekD_1	CELL	2014	1	24	0	V	592.4500	23.8000	27.2000	1225.8990	355.9883	3.4000	9.3500	36.5500	112.8724	0.5844	0.8750	
